127.0.0.1 - - [01/Jul/2019:00:02:28 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:02:44 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:02:45 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:02:45 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:02:45 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:02:47 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:02:47 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019/months/5 HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:02:47 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/count HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:15 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions HTTP/1.1" 200 14633
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:15 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4943633/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:15 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4943633/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:17 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944034/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:17 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944034/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:17 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944730/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:17 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944730/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:17 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4945250/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:17 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4945250/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:18 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4947446/step-executions HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:18 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4947446/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:50 +0200] "GET /dashboard/rest/v1/organizations/43092/jobs/4747245/executions HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:03:55 +0200] "GET /dashboard/rest/v1/organizations/43092/jobs/4747245/executions/4792055/step-executions HTTP/1.1" 200 3456
